PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.592860612,0.091695055,-1.31269956,-0.312305979,1.505936029
0BVvxJ6a,0.635950877,0.061688267,1.146741205,0.031409508,-1.574961127
0KbdgApg,-0.139003775,0.112699813,0.337577859,0.271584925,-1.091474659
0MnuuduB,-0.166695701,0.140941497,0.038534738,0.68768745,-0.925823741
0PcIsF9z,-0.501625458,-0.09505308,-2.1246751,0.434768264,-0.520158562
0ShTFLYJ,-0.322097809,-0.066105349,-0.537824443,-0.578541304,0.466456183
0XZh9jka,-0.151528672,0.002910264,-0.695165545,1.249225539,-0.552340833
0Y7Wegri,-0.623788378,0.061688267,0.903765552,-0.01802622,-0.119055013
0dTqplIM,0.067704533,-0.053220085,0.774903875,0.511705679,-1.069894049
0lNiZicC,-0.667281771,-0.064163734,-1.469961076,-0.153456748,0.091214233
0rGeJ0QN,-0.826564285,-0.096112141,-0.487895716,-0.01483479,-0.316610173
0sXI9ytQ,-0.283222971,0.101050112,-0.460322783,-0.291548508,1.557467003
0ukt4aP6,0.652881838,0.035917731,1.235101339,-0.977023959,0.493508383
1AGspb8f,-0.325905085,-0.09593563,-0.746987162,-0.410146735,-1.033613971
1Csy0gvE,-0.513069414,-0.058162376,0.075485848,-0.553804001,0.844349962
1Ic2hly1,-0.53339697,0.082516509,-0.332684504,0.026453309,0.833006451
1PPbaTwt,-0.424961008,0.083222556,-0.760253486,-0.239322931,1.005483294
1SO5VJNy,-0.334374753,-0.089051718,0.331374982,-0.430913697,0.449098059
1arHxK3Y,0.740897849,0.160534171,1.668627456,0.36417818,-0.205048219
1fCW4Bba,-0.514815705,0.013677406,-0.382400065,-0.503342418,1.016524894
1qDZNvIm,-0.663655653,-0.056220761,-0.220903626,-0.814172214,1.141372298
28LYJC2V,-0.460151795,-0.096112141,-0.984629496,0.443822417,-0.760165152
2CzACvQq,0.589624851,0.09804944,2.059132634,-0.400470041,-0.474127919
2FT3crfv,-0.287600005,-0.053749615,0.466256529,0.105553914,-0.755596251
2Fy2uHVg,-0.466480558,0.173595947,-0.713973254,-0.690169885,-0.508081933
2MkMEApm,-0.450815802,0.015972043,-0.032208703,-0.481683577,1.666509659
2NDGWEOe,0.802181027,-0.075460406,1.469988935,-0.660929171,-0.517247714
2NyyCiqn,-0.362052633,-0.087639633,0.1563751,-0.55217885,0.592857026
2QRzIb84,0.192810414,0.096284332,1.659835031,-0.521855665,0.279256938
2QcbdrUZ,-0.602096806,0.127879711,-0.066008521,-0.381765469,0.423121008
2YgAimWK,-0.413386503,0.013500895,0.0402723,-0.493922904,1.4194662
2cx85d9H,-0.077370798,0.115876996,0.285136183,0.30605898,-1.373354397
2homMXMV,-0.585448956,-0.094523545,-2.095769566,0.396784,0.511027714
2ldLrUtq,-0.417669293,-0.061339564,-0.111962985,-0.445713748,-0.365540208
2nsACW6G,-0.026904844,0.054980867,-1.1667758,1.509811116,-1.176469733
2yMbVnWc,-0.688251609,0.061158736,-1.970199648,2.719182081,0.802857937
36r8sgGQ,-0.41892593,-0.087992657,-0.148905273,-0.662332025,0.480659312
3NXAXCl3,-0.433801078,-0.000619946,-0.822098025,0.345732771,-1.152336213
3QG0z6fl,-0.675908506,0.076162133,-1.36618414,-0.189531507,1.086184536
3WS8R9qm,0.235265375,0.029033822,-0.796883541,2.228062592,-1.266103729
3fRLm8f5,-0.223940907,-0.09399401,-1.024200026,0.231021375,-0.06517572
3mZhp1nQ,-0.568198135,0.140058938,-0.10966335,-0.391076659,0.517695868
3pikJXRL,-0.436794845,0.016854596,-1.079865569,0.62085578,-1.258562875
3pxOEGHL,-0.453753488,-0.089757765,-0.409575058,-0.677883565,0.597193199
3ttdV3f5,-0.671536998,0.208015486,-0.52917741,-0.02562136,-0.402390777
3v4X6Mfe,1.28540605,0.093636675,1.475389642,-0.969039835,0.022028362
3wORuPiv,-0.592987096,0.086576251,-0.474376737,-0.403727677,-0.47728392
43EfrxZj,0.163202337,0.009970686,-0.162144401,0.187131531,-0.37006159
457Vwm21,0.036377451,0.061864779,0.688161043,0.688664403,-0.984943654
46KNnOdx,-0.496817368,-0.099112822,-0.838540927,-0.365706631,-0.381006139
47TwNsVC,-0.244311125,0.045802321,-1.075141052,1.411953854,-1.014392882
49856RpO,-0.300612338,-0.073342284,-0.795356882,-0.613939378,-0.988253523
4Ane1o2N,-0.257022107,-0.061339564,-0.314404103,-0.491894277,0.148858214
4AyVUgSc,-0.525247704,-0.066811391,-0.694433161,-0.329379023,0.002356806
4B1951On,-0.177144702,0.070513794,-0.058663302,0.111427928,0.550452973
4OL39Teo,0.117309838,0.009970686,0.063176259,0.278755299,-0.093328409
4eQ90eLY,0.0356954,0.017207616,0.039561908,0.588734848,0.355375694
4o5jwMj8,-0.534909125,-0.091346352,-0.547669381,-0.676812382,-0.141529797
4vPgpl2c,-0.45921354,-0.061163057,-0.514019734,-0.965958384,0.395842951
51r9aA0d,-0.611736191,-0.0719302,0.03978675,-0.339677527,0.166431463
58SmeRoP,-0.52186492,-0.092934948,0.075579796,-0.08111429,-0.790031645
5HJp1AXn,-0.48286515,0.093813186,-0.790952711,0.537202158,-0.088707077
5MBZW7fx,-0.237951771,0.023738507,0.69577606,-0.867585147,0.2128932
5Nq3gHaP,0.257456243,0.014030427,0.213135584,0.689560629,0.353894204
5RmwFFK3,0.220611956,-0.111998087,0.015675719,-0.494074553,-0.926611099
5Tu5Jbov,-0.442991283,0.178714741,-0.812249289,-0.089650521,-0.486528914
5YEolkev,-0.281437293,-0.061516076,-0.107364606,-0.499196617,-0.251718896
5a8sf6QV,-0.026975406,0.102638708,0.753762914,-0.002080616,-1.124457152
5eSvmqYm,-0.451179692,0.173595947,-0.263095792,-0.598594826,-0.345645852
5hkN8fiv,-0.40980892,-0.088875206,-1.856953381,1.266155516,-0.96171024
5oK8Gti5,-0.519325739,0.091695055,-0.777272288,-0.371229768,1.63726273
